MIRNA	GENE	INPUT
rno-miR-322	Ccng1	1
rno-miR-322	Pcdha13	1
rno-miR-322	Mafb	1
rno-miR-322	Igf1	1
rno-miR-322	Pacsin3	1
rno-miR-322	RGD1359529	1
rno-miR-322	Arhgef9	1
rno-miR-322	Slc12a2	1
rno-miR-322	Slc12a2	1
rno-miR-322	Sod3	1
rno-miR-322	Gatad2a	1
rno-miR-322	Paf1	1
rno-miR-322	Tsga14	1
rno-miR-322	Snap47	1
rno-miR-322	Ddx39	1
rno-miR-322	Aarsd1	1
rno-miR-322	Syt15	1
rno-miR-322	Npap60	1
rno-miR-322	Znf622	1
rno-miR-322	Cdc37l1	1
rno-miR-322	Ikbkb	1
rno-miR-322	Rbm34	1
rno-miR-322	Rbm34	1
rno-miR-322	Usp14	1
rno-miR-322	Atn1	1
rno-miR-322	Ubfd1	1
rno-miR-322	Nelf	1
rno-miR-322	Ywhaq	1
rno-miR-322	Flot1	1
rno-miR-322	Fstl1	1
rno-miR-322	Slc7a5	1
rno-miR-322	Nras	1
rno-miR-322	Wisp1	1
rno-miR-322	Ak2	1
rno-miR-322	Ak2	1
rno-miR-322	Sipa1l2	1
rno-miR-322	Mapre1	1
rno-miR-322	Vat1	1
rno-miR-322	Vat1	1
rno-miR-322	Bcat2	1
rno-miR-322	Ppp1r3b	1
rno-miR-322	Capn3	1
rno-miR-322	Pldn	1
rno-miR-322	Ssb	1
rno-miR-322	Ccl9	1
rno-miR-322	Nlgn1	1
rno-miR-322	Coq4	1
rno-miR-322	Gjb6	1
rno-miR-322	Plcb4	1
rno-miR-322	Dnaja2	1
rno-miR-322	Cacna1c	1
rno-miR-322	Aplnr	1
rno-miR-322	Fxc1	1
rno-miR-322	Rhoq	1
rno-miR-322	Catsper2	1
rno-miR-322	LOC361635	1
rno-miR-322	Itpr1	1
rno-miR-322	Arl2	1
rno-miR-322	Pafah1b2	1
rno-miR-322	Rela	1
rno-miR-322	Cldn1	1
rno-miR-322	Dixdc1	1
rno-miR-322	Trpc1	1
rno-miR-322	Gucy1a3	1
rno-miR-322	Ccdc28a	1
rno-miR-322	Scoc	1
rno-miR-322	Irak2	1
rno-miR-322	Crebl2	1
rno-miR-322	Pklr	1
rno-miR-322	Map1lc3b	1
rno-miR-322	Map1lc3b	1
rno-miR-322	Tppp3	1
rno-miR-322	RT1-CE16	1
rno-miR-322	Zhx1	1
rno-miR-322	Zhx1	1
rno-miR-322	Coro1b	1
rno-miR-322	Gorasp2	1
rno-miR-322	Skp1	1
rno-miR-322	Smarcd2	1
rno-miR-322	Purb	1
rno-miR-322	Purb	1
rno-miR-322	MGC94190	1
