MIRNA	GENE	INPUT
dme-miR-1	CG3857	1
dme-miR-1	oa2	1
dme-miR-1	Snoo	1
dme-miR-1	CG13090	1
dme-miR-1	wkd	1
dme-miR-1	mod(mdg4)	1
dme-miR-1	Cct2	1
dme-miR-1	CG42351	1
dme-miR-1	CG10186	1
dme-miR-1	KLHL18	1
dme-miR-1	CG18265	1
dme-miR-1	T-cp1	1
dme-miR-1	Tsp5D	1
dme-miR-1	Klc	1
dme-miR-1	mRpL1	1
dme-miR-1	DAT	1
dme-miR-1	CG11377	1
dme-miR-1	CG10344	1
dme-miR-1	CG7139	1
dme-miR-1	PH4alphaPV	1
dme-miR-1	PH4alphaPV	1
dme-miR-1	mbt	1
dme-miR-1	CG3402	1
dme-miR-1	CG3402	1
dme-miR-1	CG11033	1
dme-miR-1	CG12824	1
dme-miR-1	Dak1	1
dme-miR-1	CG15141	1
dme-miR-1	CG15087	1
dme-miR-1	CG14823	1
dme-miR-1	wisp	1
dme-miR-1	rec	1
dme-miR-1	p115	1
dme-miR-1	CG6459	1
dme-miR-1	CG32369	1
dme-miR-1	CG32226	1
dme-miR-1	Mlf	1
dme-miR-1	CG4896	1
dme-miR-1	pcs	1
dme-miR-1	CG11180	1
dme-miR-1	CG6888	1
dme-miR-1	CG12370	1
dme-miR-1	CG12370	1
dme-miR-1	CG5550	1
dme-miR-1	CG6490	1
dme-miR-1	CG6490	1
dme-miR-1	zfh2	1
dme-miR-1	CG5317	1
dme-miR-1	CG9576	1
dme-miR-1	Cog7	1
dme-miR-1	santa-maria	1
dme-miR-1	CG14107	1
dme-miR-1	crp	1
dme-miR-1	CG17272	1
dme-miR-1	312	1
dme-miR-1	CG1678	1
dme-miR-1	Rab6	1
dme-miR-1	Su(H)	1
dme-miR-1	CG13759	1
dme-miR-1	Scp1	1
dme-miR-1	sprt	1
dme-miR-1	pdm3	1
dme-miR-1	tra	1
dme-miR-1	CG11151	1
dme-miR-1	CG31477	1
dme-miR-1	CG32298	1
dme-miR-1	E(bx)	1
dme-miR-1	Dll	1
dme-miR-1	Gap1	1
dme-miR-1	p	1
dme-miR-1	Invadolysin	1
dme-miR-1	cin	1
dme-miR-1	CG42575	1
dme-miR-1	Mnn1	1
dme-miR-1	CG3419	1
dme-miR-1	CG3419	1
dme-miR-1	CG34123	1
dme-miR-1	CG1950	1
dme-miR-1	drongo	1
dme-miR-1	Rab10	1
dme-miR-1	CG34318	1
dme-miR-1	seq	1
dme-miR-1	nos	1
dme-miR-1	nos	1
dme-miR-1	pen-2	1
dme-miR-1	SoxN	1
dme-miR-1	slik	1
dme-miR-1	slik	1
dme-miR-1	slik	1
dme-miR-1	slik	1
