gene	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
Mrpl11	8.69940800458	8.70762762578	8.43329474732	7.51400387224	7.49387145686	7.23922700188	6.86409993363	6.55030283117	6.55556691028	6.81547675319
B2m	12.4657947035	12.0088245303	12.2446970757	12.4398342596	12.3855911959	12.3824163453	12.5622044411	12.7059933537	12.5444228777	12.2188480115
Mycbp	8.02025307398	6.94814745827	7.21102266231	6.10099866586	6.26374806278	5.47381247903	5.07128992848	5.04036300441	4.17105789156	4.62049759184
Vmn1r119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Serpinb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haus6	4.44884939181	3.98351128324	3.48381377016	2.38625914113	3.50347595134	2.14569127001	2.49873653599	3.90060701194	2.90040450687	1.38032338573
Fkbp2	8.95776750726	8.65002344521	9.03639867998	8.63804124581	8.47596845764	8.67167955394	8.3854237841	8.56460475564	8.64458739852	8.71498564229
Slc40a1	9.11151632635	9.84696426285	9.90426772161	9.0711941787	8.91767938406	9.44284589644	9.17588274757	8.71757738045	8.32636309662	9.02439539719
Eid3	0.0	0.823542106314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr1048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tor1aip1	9.21633756688	9.6044449461	9.64896972413	9.45691906066	9.81491726688	10.039326247	9.85268910129	9.96905503185	10.0369189625	10.1893242013
Mtdh	0.0	4.87369821495	5.02861817837	7.33670292257	7.28653003942	7.51955175146	7.9740948018	8.3905787396	8.28649562594	6.29752361287
Clec5a	7.96697119682	7.9404622429	7.77813579549	8.49322700969	8.01979641588	7.73527112424	8.18459089779	7.64174434777	7.78022012543	8.84188659555
Tmem126a	0.0	2.99781217475	2.27904734812	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wnt7a	2.69972228229	1.62616241081	1.18326602277	2.38625914113	0.0	0.0	0.0	0.0	0.0	0.0
Poldip2	8.99125172564	9.49426270774	8.99356177798	9.21154278489	9.2307554103	8.31295000402	8.53859150591	8.61381123905	8.4748864329	8.67104027323
Zdhhc19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2510002D24Rik	7.88769243715	8.07471504966	8.49864724747	8.31318688732	8.64699424291	8.66083144399	8.41316138685	8.55170531691	8.73966927248	9.46088254673
Mettl6	8.79144386214	8.3380200045	8.22641548282	7.94367523185	7.57435889293	6.38469939591	7.07752788927	7.04014214208	6.72731267773	7.43247938584
Rap2a	9.74138306681	10.4631415921	10.3284546966	9.71816295075	9.95177281707	10.0240166391	9.74197294887	9.53191556508	9.56648621653	10.0449295409
Cacng3	0.0	0.972054399554	0.810996615833	0.0	2.15283240469	0.0	0.0	1.17184603459	0.0	0.0
BC030500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alg10b	4.93234118249	5.54162869127	4.85084819721	5.12184429788	4.43849247269	3.36007423726	4.39619515246	5.19282221362	4.27494796461	4.47675178888
Golga2	8.02023674382	8.20482860241	7.50124061396	8.54312851239	8.65934662275	8.69321524776	8.64225452437	8.484821074	8.50592343627	8.41230358827
Echdc3	0.0	2.45083912783	1.60962298926	2.38625914113	2.15283240469	0.0	1.20272392185	1.15560622732	0.0	0.0
Serpinb1b	0.0	0.972054399554	0.0	0.0	0.0	0.0	0.0	0.0	1.28474554598	0.0
Polg	7.52272451182	7.96362778763	7.92835201452	8.21397419288	8.90735639068	8.35175355839	8.44618229411	8.66111020184	8.73207333027	8.07456393312
Orc3	5.21872026861	5.19009087794	5.31617643477	5.43549525193	5.81134257974	5.95929502455	6.34656755806	6.36103141811	5.657184141	5.19187534615
Pygo2	9.06717276403	8.83772088144	8.71786213492	9.16979475226	9.29550034089	8.50300849266	9.17683087815	8.66015809206	8.43082032478	8.66538168962
B3gnt2	6.19379717449	7.08010245004	6.83874663767	6.10099866586	6.60764101461	6.67401394119	6.31003754076	6.85038874798	7.60458766441	8.36674832931
U2surp	8.58132116958	7.94293355831	7.77744907787	8.25448066669	8.4898680256	8.29758777486	8.42078882152	8.280947834	8.56892638529	7.05035477748
Cic	8.70483262997	9.37559182932	9.55866179376	10.3097810043	10.0950673016	10.1665786983	10.6612853364	10.3283996425	10.505579488	10.877300528
4933427G17Rik	0.0	0.972054399554	0.0	0.0	0.0	0.0	0.0	0.0	1.28474554598	0.0
Mpdz	5.41545019064	4.96268213895	4.11887434471	3.24107745818	2.98075651923	0.0	0.0	0.0	1.28474554598	0.0
Fam120b	7.08806589303	6.89580240056	6.93430060493	7.75892939602	7.08149941617	7.21728807057	7.39922587594	7.42751951358	7.20473119577	7.84856209885
Gm5916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17184603459	0.0	0.0
4930432K21Rik	0.0	4.39626694572	3.06012176961	4.72055209161	4.1887174092	4.67685020708	1.917052202	6.04077965886	5.40556570695	2.57817808181
Cga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem70	8.90235580443	8.75918352073	8.8924330869	8.08514843054	7.60021770944	7.90073122195	7.08215635873	7.51835507454	7.12686236804	8.13215980787
Iah1	6.95768190831	5.98955321799	6.23324651133	4.16269343221	5.14860877021	4.55325929752	5.45044673484	5.35737451413	5.02687736474	5.44334861259
Ttc39c	0.0	2.56972950848	1.09578132535	2.38625914113	0.0	1.42339707974	0.0	0.0	0.0	0.0
Cntnap2	2.21661327414	5.09055238136	4.02706406076	2.38625914113	3.88645259872	0.0	0.0	1.17184603459	0.0	0.0
Fus	9.70309824711	9.92328865206	10.32401393	9.79569390482	9.99627574899	9.55929752606	9.80122000608	10.3544130187	10.3351275148	10.0273130469
Gm5127	0.0	0.823542106314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aifm1	6.55772379192	6.15915172975	6.22658705199	5.91135603238	4.65133876611	5.07160958557	4.51064210011	5.21375736175	5.2362728081	3.88602647735
